,time,coin,coinAmt,event_type,attribution,spot,mark,usdAmt,additional,exchange,subaccount
0,2022-07-13 07:07:10.656063+00:00,USD,0.0,delta,USD,1.0,1.0,,,ftx,debug
0,2022-07-13 07:07:10.656063+00:00,USD,0.0,PV,USD,1.0,1.0,,,ftx,debug
0,2022-07-13 08:06:56.656063+00:00,AAVE,0.01,delta,AAVE,71.59,71.59,0.7159,0.0,ftx,debug
1,2022-07-13 08:06:56.656063+00:00,BCH,-0.91507606,delta,BCH,100.475,100.475,-91.9422671285,0.0,ftx,debug
2,2022-07-13 08:06:56.656063+00:00,BNB,-4.129e-05,delta,BNB,225.944,225.944,-0.00932922776,0.0,ftx,debug
3,2022-07-13 08:06:56.656063+00:00,CEL,-126.79604611,delta,CEL,0.736,0.736,-93.32188993696,0.0,ftx,debug
4,2022-07-13 08:06:56.656063+00:00,DOT,-0.00297029,delta,DOT,6.451,6.451,-0.0191613407899999,0.0,ftx,debug
5,2022-07-13 08:06:56.656063+00:00,FTM,-0.03710287,delta,FTM,0.23835,0.23835,-0.0088434690645,0.0,ftx,debug
6,2022-07-13 08:06:56.656063+00:00,LINK,-1.272e-05,delta,LINK,6.1065,6.1065,-7.767468e-05,0.0,ftx,debug
7,2022-07-13 08:06:56.656063+00:00,SNX,-0.10152427,delta,SNX,2.376,2.376,-0.24122166552,0.0,ftx,debug
8,2022-07-13 08:06:56.656063+00:00,SOL,-0.01002558,delta,SOL,33.71,33.71,-0.3379623018,0.0,ftx,debug
9,2022-07-13 08:06:56.656063+00:00,TRX,-0.11328401,delta,TRX,0.06574,0.06574,-0.0074472908174,0.0,ftx,debug
10,2022-07-13 08:06:56.656063+00:00,UNI,-0.00062913,delta,UNI,5.648,5.648,-0.0035533262399999,0.0,ftx,debug
11,2022-07-13 08:06:56.656063+00:00,USD,275.15668553,delta,USD,1.0,1.0,275.15668553,0.0,ftx,debug
12,2022-07-13 08:06:56.656063+00:00,XRP,-1.00198141,delta,XRP,0.3194,0.3194,-0.320032862354,0.0,ftx,debug
13,2022-07-13 08:06:56.656063+00:00,USD,0.1,delta,UNI-PERP,5.649,5.65,0.565,,ftx,debug
14,2022-07-13 08:06:56.656063+00:00,USD,1.0,delta,FTM-PERP,0.23845,0.23835,0.23835,,ftx,debug
15,2022-07-13 08:06:56.656063+00:00,USD,0.916,delta,BCH-PERP,100.475,100.35,91.9206,,ftx,debug
16,2022-07-13 08:06:56.656063+00:00,USD,121.6,delta,CEL-PERP,0.736,0.7295,88.7072,,ftx,debug
17,2022-07-13 08:06:56.656063+00:00,USD,89.660799305514,PV,USD,1.0,1.0,89.660799305514,,ftx,debug
18,2022-07-13 08:06:56.656063+00:00,USD,51.3297884037845,IM,USD,1.0,1.0,51.3297884037845,,ftx,debug
0,2022-07-13 10:57:16.316906+00:00,AAVE,0.01,delta,AAVE,72.11,72.11,0.7211,0.0,ftx,debug
1,2022-07-13 10:57:16.316906+00:00,BCH,-0.91509006,delta,BCH,100.675,100.675,-92.1266917905,0.0,ftx,debug
2,2022-07-13 10:57:16.316906+00:00,BNB,-4.129e-05,delta,BNB,225.83,225.83,-0.0093245207,0.0,ftx,debug
3,2022-07-13 10:57:16.316906+00:00,CEL,-126.834437,delta,CEL,0.736,0.736,-93.350145632,0.0,ftx,debug
4,2022-07-13 10:57:16.316906+00:00,DOT,-0.00297036,delta,DOT,6.447,6.447,-0.01914991092,0.0,ftx,debug
5,2022-07-13 10:57:16.316906+00:00,FTM,-0.03710355,delta,FTM,0.2393,0.2393,-0.008878879515,0.0,ftx,debug
6,2022-07-13 10:57:16.316906+00:00,LINK,-1.272e-05,delta,LINK,6.063,6.063,-7.712136e-05,0.0,ftx,debug
7,2022-07-13 10:57:16.316906+00:00,SNX,-0.10152458,delta,SNX,2.376,2.376,-0.24122240208,0.0,ftx,debug
8,2022-07-13 10:57:16.316906+00:00,SOL,-0.01002568,delta,SOL,33.765,33.765,-0.3385170852,0.0,ftx,debug
9,2022-07-13 10:57:16.316906+00:00,TRX,-0.1132892,delta,TRX,0.0656075,0.0656075,-0.007432621189,0.0,ftx,debug
10,2022-07-13 10:57:16.316906+00:00,UNI,-0.00062914,delta,UNI,5.628,5.628,-0.00354079992,0.0,ftx,debug
11,2022-07-13 10:57:16.316906+00:00,USD,275.33544269,delta,USD,1.0,1.0,275.33544269,0.0,ftx,debug
12,2022-07-13 10:57:16.316906+00:00,XRP,-1.00207335,delta,XRP,0.3162,0.3162,-0.31685559327,0.0,ftx,debug
13,2022-07-13 10:57:16.316906+00:00,USD,121.6,delta,CEL-PERP,0.7355,0.728,88.5248,,ftx,debug
14,2022-07-13 10:57:16.316906+00:00,USD,1.0,delta,FTM-PERP,0.2393,0.23915,0.23915,,ftx,debug
15,2022-07-13 10:57:16.316906+00:00,USD,0.1,delta,UNI-PERP,5.63,5.626,0.5626,,ftx,debug
16,2022-07-13 10:57:16.316906+00:00,USD,0.916,delta,BCH-PERP,100.7,100.6,92.1496,,ftx,debug
17,2022-07-13 10:57:16.316906+00:00,USD,89.6347063333459,PV,USD,1.0,1.0,89.6347063333459,,ftx,debug
18,2022-07-13 10:57:16.316906+00:00,USD,51.446382191387,IM,USD,1.0,1.0,51.446382191387,,ftx,debug
0,2022-07-13 11:36:15.364856+00:00,AAVE,0.01,delta,AAVE,72.38125000000001,72.38125000000001,0.7238125000000001,0.0,ftx,debug
1,2022-07-13 11:36:15.364856+00:00,BCH,-0.9150970600000004,delta,BCH,100.46875000000001,100.46875000000001,-91.93865774687505,0.0,ftx,debug
2,2022-07-13 11:36:15.364856+00:00,BNB,-4.129e-05,delta,BNB,225.73374999999996,225.73374999999996,-0.009320546537499998,0.0,ftx,debug
3,2022-07-13 11:36:15.364856+00:00,CEL,-126.83521171999998,delta,CEL,0.7461249999999999,0.7461249999999999,-94.63492234458498,0.0,ftx,debug
4,2022-07-13 11:36:15.364856+00:00,DOT,-0.0029703999999999998,delta,DOT,6.464499999999999,6.464499999999999,-0.019202150799999998,0.0,ftx,debug
5,2022-07-13 11:36:15.364856+00:00,FTM,-0.037103890000000014,delta,FTM,0.23970624999999995,0.23970624999999995,-0.008894034332312502,0.0,ftx,debug
6,2022-07-13 11:36:15.364856+00:00,LINK,-1.272e-05,delta,LINK,6.096125000000001,6.096125000000001,-7.754271e-05,0.0,ftx,debug
7,2022-07-13 11:36:15.364856+00:00,SNX,-0.10153233999999997,delta,SNX,2.3745,2.3745,-0.2410885413299999,0.0,ftx,debug
8,2022-07-13 11:36:15.364856+00:00,SOL,-0.010025740000000002,delta,SOL,33.91031250000001,33.91031250000001,-0.33997597644375016,0.0,ftx,debug
9,2022-07-13 11:36:15.364856+00:00,TRX,-0.11329161000000004,delta,TRX,0.06563218750000001,0.06563218750000001,-0.007435576189696879,0.0,ftx,debug
10,2022-07-13 11:36:15.364856+00:00,UNI,-0.0006291400000000001,delta,UNI,5.636375000000001,5.636375000000001,-0.0035460689675000014,0.0,ftx,debug
11,2022-07-13 11:36:15.364856+00:00,USD,276.65966521000007,delta,USD,1.0,1.0,276.65966521000007,0.0,ftx,debug
12,2022-07-13 11:36:15.364856+00:00,XRP,-1.00211932,delta,XRP,0.31705625000000004,0.31705625000000004,-0.31772819365175003,0.0,ftx,debug
13,2022-07-13 11:36:15.364856+00:00,USD,1.0,delta,FTM-PERP,0.23965,0.23961875000000002,0.23961875000000002,,ftx,debug
14,2022-07-13 11:36:15.364856+00:00,USD,121.59999999999997,delta,CEL-PERP,0.7465,0.7413124999999999,90.14359999999996,,ftx,debug
15,2022-07-13 11:36:15.364856+00:00,USD,0.10000000000000002,delta,UNI-PERP,5.636,5.6347499999999995,0.5634750000000001,,ftx,debug
16,2022-07-13 11:36:15.364856+00:00,USD,0.9160000000000003,delta,BCH-PERP,100.45,100.36875000000002,91.93777500000004,,ftx,debug
17,2022-07-13 11:36:15.364856+00:00,USD,89.86262898757754,PV,USD,1.0,1.0,89.86262898757754,,ftx,debug
18,2022-07-13 11:36:15.364856+00:00,USD,51.848118835883795,IM,USD,1.0,1.0,51.848118835883795,,ftx,debug
